"","name","position","specialty","education"
"660","COPPAGE ARANDA,KEIVA","Lecturer","Counseling Psychology","MS 2016 "
"661","COPPERSMITH,SUSAN","Professor","Physics","PHD 1983 Cornell University"
"662","CORBAE,DEAN","Professor","Finance","PHD 1990 Yale University"
"663","CORBY,KATE","Professor","Dance","MFA 2007 Univ of IL at Urbana-Champaign"
"664","COREY,DANIEL JOSEPH","Visiting Asst Prof","Mathematics","PHD 2018 "
"665","CORFIS,IVY A.","Professor","Spanish And Portuguese","PHD 1982 Univ of Michigan at Ann Arbor"
"666","CORNELIUS,DANIEL JOSEPH","Lecturer","Educational Policy Studies","JD  Univ of Wisconsin-Madison"
"667","COSTANZO,ERIN SUSAN","Professor (Chs)","Psychiatry","PHD 2006 University of Iowa"
"668","COTTER,MEGHAN MARIE","Lecturer","Academic Affairs","PHD 2011 Case Western Reserve Univ."
"669","COUET,ADRIEN","Assistant Professor","Engineering Physics","PHD 2014 Pennsylvania State University"
"670","COURTIER,ANNA M. BISHOP","Assoc Faculty Assoc","Wiscience","PHD 2008 Univ of Minnesota-Twin Cities"
"671","COVALESKI,MARK A.","Professor","Accting &amp; Info Sys","PHD 1978 Pennsylvania State University"
"672","COVINGTON,ALEXANDER MICHAEL","Assoc Lecturer","Statistics","MS 2018 Univ of Wisconsin-Madison"
"673","COVINGTON,ELIZABETH E","Faculty Associate","European Studies","PHD 1998 Calif. State Univ. Los Angeles"
"674","COWAN,EILEEN A.","Asst Professor (Chs)","Pediatrics","MD 2008 Loyola University of Chicago"
"675","COX,MICHAEL M.","Professor","Biochemistry","PHD 1980 Brandeis University"
"676","COXHEAD,IAN","Professor","Agricultural&amp;Applied Economics","PHD 1989 Australian National University"
"677","COYLE,SCOTT","Assistant Professor","Biochemistry","PHD 2015 U of California San Francisco"
"678","COYNE,SARAH","Adjunct Instructor","Law School","JD 1995 Univ of Wisconsin-Madison"
"679","CRABB,RICHARD","Lecturer","Risk &amp; Insurance","MS 1996 Stanford University"
"680","CRACIUN,GHEORGHE","Professor","Mathematics","PHD 2002 Ohio State University"
"681","CRAIG,ELIZABETH A","Professor","Biochemistry","PHD 1972 Washington University"
"682","CRAIG,RACHEL DANAE","Clinical Asst Prof","Communication Sci &amp; Disorders","AUD 2017 Univ of Wisconsin-StevensPoint"
"683","CRALL,JAMES","Assistant Professor","Entomology","PHD 2017 Harvard University"
"684","CRAMER,KATHERINE JEAN","Professor","Political Science","PHD 2000 Univ of Michigan at Ann Arbor"
"685","CRAMER,STEVEN","Professor","Civil &amp; Environmental Engr","PHD 1984 Colorado State University"
"686","CRAVEN,MARK W","Professor","Biostatistics&amp;Med Informatics","PHD 1996 Univ of Wisconsin-Madison"
"687","CRAWFORD,LATASHA K.","Assistant Professor","Pathobiological Sciences","PHD 2011 "
"688","CRENSHAW,TOM","Professor","Animal And Dairy Sciences","PHD 1980 University of Nebraska-Lincoln"
"689","CRIM,ELTON","Clinical Professor","Ed Leadership&amp;Policy Analysis","EDD 2006 Pennsylvania State University"
"690","CRONE,WENDY","Professor","Engineering Physics","PHD 1998 Univ of Minnesota-Twin Cities"
"691","CRONON,WILLIAM","Honorary Assoc/Fellow","History","PHD 1990 Yale University"
"692","CROOK,DAVID","Professor","Mead Witter School Of Music","PHD 1991 Princeton University"
"693","CROSS,LORI J","Lecturer","Ev Mba Program Office","MS 1983 Rensselaer Polytechnic Inst"
"694","CROWTHER,SHAUNA","Senior Lecturer","English","MA 2013 Univ of Wisconsin-Madison"
"695","CRUICKSHANKS,KAREN J.","Professor","Ophthalmology&amp;Visual Sciences","PHD 1987 University of Pittsburgh"
"696","CRYNS,VINCENT","Professor","Medicine","MD 1987 Harvard University"
"697","CULBERSON,WESLEY STUART","Assoc Professor (Chs)","Medical Physics","PHD 2006 Univ of Wisconsin-Madison"
"698","CULLINANE,MICHAEL M.","Dis Faculty Associate","Asian Studies","PHD 1989 Michigan State University"
"699","CULP,LINDSEY","Clinical Instructor","Surgical Sciences","DVM 2000 Kansas State University"
"700","CULVER,KATHLEEN","Associate Professor","Journalism&amp;Mass Communication","PHD 1999 Univ of Wisconsin-Madison"
"701","CUNSOLO,ALESSANDRO","Assoc Lecturer","Physics","PHD 1999 Univ Joseph Fourier Grenoble I"
"702","CURRIE,CAMERON","Professor","Bacteriology","PHD 2000 University of Toronto"
"703","CURRY,TOM","Faculty Associate","Mead Witter School Of Music","DMA 2015 Northwestern University"
"704","CURTIN,JOHN J.","Professor","Psychology","PHD 2000 Florida State University"
"705","CURTIS,KATHERINE J","Professor","Community &amp; Environ Sociology","PHD 2003 University of Washington"
"706","CUTSFORTH,TANYA M","Instructl Prg Mgr Ii","Cals Academic Affairs","MS 2010 Univ of Wisconsin-Madison"
"707","CZAJKOWSKI,CYNTHIA M.","Professor","Department Of Neuroscience","PHD 1987 SUNY Health Sci Cntr-Brooklyn"
"708","CZUPRYNSKI,CHARLES JOSEPH","Professor","Pathobiological Sciences","PHD 1980 Univ of Wisconsin-Madison"
"709","DAHL,GARY","Assoc Faculty Assoc","Computer Sciences","MS 2003 Univ of Minnesota-Twin Cities"
"710","DAHLKE,KATELYN","Asst Faculty Assoc","Chemical &amp; Biological Engr","ME  "
"711","DAI,JUN","Assistant Professor","Pharmacy","PHD 2000 Tulane University"
"712","DAKES,CHRIS","Faculty Associate","Innovation","PHD 1998 Univ of Wisconsin-Madison"
"713","DALE,THOMAS","Professor","Art History","PHD 1990 Johns Hopkins University"
"714","DAMSCHEN,ELLEN","Professor","Integrative Biology","PHD 2005 North Carolina State Univ"
"715","DANAHER,DAVID","Professor","German, Nordic &amp; Slavic","PHD 1995 Brown University"
"716","DANKO,ISTVAN","Professor (Chs)","Pediatrics","PHD 1998 Hungary"
"717","DANTONI,LORIS","Assistant Professor","Computer Sciences","PHD 2015 University of Pennsylvania"
"718","DASU,SRIDHARA","Professor","Physics","PHD 1988 University Of Rochester"
"719","DAVIDSON,RICHARD J","Professor","Psychology","PHD 1976 Harvard University"
"720","DAVIS,ABIGAIL NANETTE","Adjunct Professor","Ms In Biotechnology Degree Prg","MS  UW Colleges Online"
"721","DAVIS,DAWN BELT","Associate Professor","Medicine","PHD 2001 University of Chicago"
"722","DAVIS,ELISE C","Lecturer","Academic Affairs","PHD 1995 Univ of California Los Angeles"
"723","DAVIS,JIM","Professor","Engr Professional Development","PHD 1987 Univ of Wisconsin-Madison"
"724","DAVIS,SARAH","Clinical Professor","Law School","JD 2002 Univ of Wisconsin-Madison"
"725","DAVIS,THULANI","Assistant Professor","Afro-American Studies","PHD 2014 New York University"
"726","DAVOODI,AZADEH","Professor","Electrical &amp; Computer Engr","PHD 2006 Univ of Maryland College Park"
"727","DAWSON,JULIE","Associate Professor","Horticulture","PHD 2008 Cornell University"
"728","DE FERRARI,GUILLERMINA","Professor","Spanish And Portuguese","PHD 2000 Columbia University"
"729","DE GASPERI,DIEGO","Clinical Instructor","Surgical Sciences","DVM 2008 Univ Federal de Santa Maria"
"730","DE LEON GATTI,NATALIA","Professor","Agronomy","PHD 2002 Univ of Wisconsin-Madison"
"731","DE VILLIERS,MELGARDT","Professor (Chs)","Pharmacy","PHD 1993 Potchefstroomse University"
"732","DE WERD,LARRY ALBERT","Professor","Medical Physics","PHD 1970 Univ of Wisconsin-Madison"
"733","DE WITT,JOHN R","Senior Lecturer","Wisconsin School Of Business","JD 1975 Univ of Wisconsin-Madison"
"734","DEAN,DOUG","Assistant Professor","Pediatrics","PHD  Brown University"
"735","DEAN,JAKE","Faculty Associate","Grainger Ctr For Scm","MBA 2009 Univ of Wisconsin-Madison"
"736","DEBAISIEUX,MARTINE","Professor","French And Italian","PHD 1984 Univ of California Berkeley"
"737","DEBOER,DOUGLAS J","Professor","Medical Sciences","DVM 1981 Univ of California Davis"
"738","DECI,DAVID M","Assoc Professor (Chs)","Family Medicine","MD 1980 University of Florida"
"739","DECICCO,MICHAEL PETER","Asst Faculty Assoc","Mechanical Engineering","PHD 2009 Univ of Wisconsin-Madison"
"740","DECROIX,GREG","Professor","Operations &amp; Information Mgmt","PHD 1992 Stanford University"
"741","DEITZ,RITT","Faculty Associate","French And Italian","PHD 1994 Univ of Wisconsin-Madison"
"742","DEL PIA,ALBERTO","Associate Professor","Industrial &amp; Systems Engr","PHD 2009 Univ degli Studi di Padova"
"743","DELANNAY,MARTINE","Sr Student Serv Coord","Law, Society And Justice","MS 2001 Univ of Wisconsin-Madison"
"744","DELGADILLO,THERESA ANN","Professor","English","PHD 2000 Univ of California Los Angeles"
"745","DELLER,STEVEN","Professor","Agricultural&amp;Applied Economics","PHD 1988 Univ of IL at Urbana-Champaign"
"746","DELSANDRO,ELIZABETH","Clinical Assoc Prof","Communication Sci &amp; Disorders","MS 1991 West Virginia University"
"747","DELUCA,HECTOR F.","Professor Emer","Biochemistry","PHD 1955 Univ of Wisconsin-Madison"
"748","DEMARCO,CHRISTOPHER","Professor Emer","Electrical &amp; Computer Engr","PHD 1984 Univ of California Berkeley"
"749","DEMETS,CHUCK","Professor","Geoscience","PHD 1988 Northwestern University"
"750","DEMETS,DAVID L.","Professor","Biostatistics&amp;Med Informatics","PHD 1970 Univ of Minnesota-Twin Cities"
"751","DEMING,DUSTIN ALAN","Associate Professor","Medicine","MD 2007 Univ of Wisconsin-Madison"
"752","DEMIRALP,ILHAN","Lecturer","Finance","PHD 2008 Texas Tech University"
"753","DEMPSEY,ROBERT J.","Professor","Neurological Surgery","MD 1977 University of Chicago"
"754","DEMURI,GREGORY P.","Professor (Chs)","Pediatrics","MD 1989 Univ of Michigan at Ann Arbor"
"755","DEN HARTOG,DANIEL J","Dis Scientist","Physics","PHD 1989 Univ of Wisconsin-Madison"
"756","DENECKERE,RAYMOND JACQUES","Professor","Economics","PHD 1983 Univ of Wisconsin-Madison"
"757","DENG,QUANLING","Visiting Asst Prof","Mathematics","PHD 2016 University of Wyoming"
"758","DENG,YONGHENG","Professor","Real Estate &amp; Urgan Land Econ","PHD  "
"759","DENISSOV,SERGUEI","Professor","Mathematics","PHD 1999 Moscow State Univ Lomonosov"
"760","DENNIS JR,SAMUEL F","Professor","Planning &amp; Landscape Arch","PHD 2000 Pennsylvania State University"
"761","DENNIS,JOSEPH","Associate Professor","History","PHD 2004 Univ of Minnesota-Twin Cities"
"762","DENNIS,SHAWN","Lecturer","Ft Mba Program Office","BS 1985 "
"763","DENT,ERIK WOLFE","Professor","Department Of Neuroscience","PHD 2001 Univ of Wisconsin-Madison"
"764","DENU,JOHN M","Professor","Biomolecular Chemistry","PHD 1993 Texas A &amp; M University"
"765","DEPPELER,DEBRA","Faculty Associate","Computer Sciences","MS 2000 Univ of Wisconsin-Madison"
"766","DESAI,ANKUR R","Professor","Atmospheric &amp; Oceanic Sciences","PHD 2006 Pennsylvania State University"
"767","DESAI,ANUJ","Professor","Law School","JD 1994 Univ of California Berkeley"
"768","DESAN,SUZANNE","Professor","History","PHD 1985 Univ of California Berkeley"
"769","DESHPANDE,ABBISHEK","Visiting Asst Prof","Mathematics","PHD 2018 "
"770","DETCHEVERRY,CHARO","Professor","Asian Languages &amp; Cultures","PHD 2000 Princeton University"
"771","DETWYLER,ANATOLY","Assistant Professor","Asian Languages &amp; Cultures","PHD 2015 Columbia University"
"772","DEVINE,PATRICIA GRACE","Professor","Psychology","PHD 1985 Ohio State University"
"773","DEVOSS,AMANDA KAY","Clinical Instructor","Family Medicine","MMS 2000 "
"774","DEWANE,JUDY","Assoc Professor (Chs)","Orthopedics And Rehabilitation","DS 2009 ROCKY MOUNTAIN UNIVERSITY"
"775","DEWEY,COLIN","Professor","Biostatistics&amp;Med Informatics","PHD 2006 Univ of California Berkeley"
"776","DEY,MAHUA","Assistant Professor","Neurological Surgery","MD 2007 Baylor College Of Medicine"
"777","DHARWADKER,APARNA","Professor","English","PHD 1990 Pennsylvania State University"
"778","DHARWADKER,VINAY","Professor","English","PHD 1989 University of Chicago"
"779","DIAKONIKOLAS,ILIAS","Associate Professor","Computer Sciences","PHD 2011 Columbia University"
"780","DIAKONIKOLAS,JELENA","Assistant Professor","Computer Sciences","PHD 2016 Columbia University"
"781","DIAMOND,CAROL A","Assoc Professor (Chs)","Pediatrics","MD 1985 U Health Sci/Chicago Med Sch"
"782","DIAMOND,JOHN B","Professor","Ed Leadership&amp;Policy Analysis","PHD 1998 Northwestern University"
"783","DIAS MOREIRA,ANA SOFIA","Post Grad Trainee 5","Medical Sciences","DVM 2011 Universidade do Porto"
"784","DICKMANN,LESLIE","Assoc Faculty Assoc","Pharmacy Outreach","PHD 2003 University of Washington"
"785","DIEM,STEPHANIE JOSEPHINE","Assistant Professor","Engineering Physics","PHD  Princeton University"
"786","DIESTELMANN,MEG","Asst Faculty Assoc","Social Work","MSW 2014 Univ of Wisconsin-Madison"
"787","DIETZ,AMY TRENTHAM","Professor","Population Health Sciences","PHD 1997 Univ of Wisconsin-Madison"
"788","DIFFEE,GARY M.","Professor","Kinesiology","PHD 1991 Univ of California Irvine"
"789","DIGMAN,MATTHEW","Assistant Professor","Biological Systems Engineering","PHD 2009 Univ of Wisconsin-Madison"
"790","DILL,CHARLES","Professor","Mead Witter School Of Music","PHD 1988 Princeton University"
"791","DILLARD,JOSEPH","Professor","Medical Microbiology","PHD 1994 Univ of Alabama at Birmingham"
"792","DILWORTH-BART,JANEAN","Professor","School Of Human Ecology","PHD 2001 Rutgers State Univ-Newark"
"793","DIMA,VLAD","Professor","African Cultural Studies","PHD 2010 Univ of Minnesota-Twin Cities"
"794","DINH,HONG","Faculty Associate","Se Asian Summer Studies Inst","BA 1998 Univ Of Da Lat"
"795","DINH,HUY Q","Assistant Professor","Oncology","PHD  Universitat Wien"
"796","DIORIO,CHRIS","Lecturer","Counseling Psychology","MS 2012 Rensselaer Polytechnic Inst"
"797","DIPRETE BROWN,LORI","Dis Faculty Associate","Civil Society And Comm Studies","MS 1988 Harvard University"
"798","DIRAN,INGRID","Assistant Professor","English","PHD 2016 Cornell University"
"799","DIRKS,WILLIAM D","Lecturer","Ctr For Rus East Eur Cent Asia",NA
"800","DISANZA,ANTHONY","Professor","Mead Witter School Of Music","PHD 2000 Univ of Michigan at Ann Arbor"
"801","DJANI,DYLAN","Clinical Instructor","Medical Sciences",NA
"802","DOAN,AN H","Professor","Computer Sciences","PHD 2002 University of Washington"
"803","DOBBS,TERYL","Professor","Mead Witter School Of Music","PHD 2005 Northwestern University"
"804","DODGE FRANCIS,CAROLEE","Professor","School Of Human Ecology","PHD 2005 University of St Thomas"
"805","DOEBLEY,JOHN","Professor","Genetics","PHD 1980 Univ of Wisconsin-Madison"
"806","DOESCHER,MICHAEL","Assoc Faculty Assoc","Computer Sciences","PHD 2002 U of South Carolina-Columbia"
"807","DOING,JAMES","Professor","Mead Witter School Of Music","MM 1984 University of Connecticut"
"808","DOMINGUEZ,PETER JOSEPH","Professor","Mead Witter School Of Music","PHD 1984 University Of Miami"
"809","DOMINGUEZ,SUSAN","Senior Lecturer","Amer Ind St","PHD 2005 Michigan State University"
"810","DONG,FENGXIA","Lecturer","Agricultural&amp;Applied Economics","PHD 2003 Kansas State University"
"811","DONG,WEI","Professor","School Of Human Ecology","MFA 1988 Virginia Commonwealth Univ"
"812","DONGHIA,ELENA","Associate Professor","Astronomy","PHD 2003 Univ degli Studi di Milano"
"813","DONNETT,URI BARUCH","Clinical Instructor","Medical Sciences","DVM 2014 "
"814","DONOHUE,TIM","Professor","Bacteriology","PHD 1980 Pennsylvania State University"
"815","DOPFER,DOERTE","Associate Professor","Medical Sciences","DVM 1992 Justus Liebig Univ Giessen"
"816","DOPP,JOHN","Assoc Professor (Chs)","Pharmacy","PHARMD 1999 Univ of Wisconsin-Madison"
"817","DOREN,BONNIE","Associate Professor","Rehab Psychology &amp; Special Ed","PHD 1987 Temple University"
"818","DORO,CHRISTOPHER","Clinical Asst Prof","Orthopedics And Rehabilitation","MD 2002 Northwestern University"
"819","DOSS,GRAYSON","Clinical Asst Prof","Surgical Sciences","DVM 2013 Louisiana State U-Baton Rouge"
"820","DOUGLAS,JON CALVIN","Clinical Assoc Prof","Communication Sci &amp; Disorders","AUD 2006 Univ of Wisconsin-Madison"
"821","DOWER,PAUL","Assistant Professor","Agricultural&amp;Applied Economics","PHD 2008 New York University"
"822","DOWNEY,GREG","Professor","Journalism&amp;Mass Communication","PHD 2000 Johns Hopkins University"
"823","DOYLE JR.,JAMES EDWARD","Adjunct Assoc Prof","Lafollette Sch Of Publ Affairs","JD 1972 Harvard University"
"824","DRAKE,DAVID","Professor","Forest &amp; Wildlife Ecology","PHD 2000 North Carolina State Univ"
"825","DRAKE,JENNIFER","Clinical Instructor","Nursing","MS 2007 University of New Hampshire"
"826","DRESSER,LAURA JILL","Clinical Asst Prof","Social Work","PHD 1994 Univ of Michigan at Ann Arbor"
"827","DRESSLER,ALEX","Associate Professor","Classic &amp; Ancient Near E Stds","PHD 2009 University of Washington"
"828","DRESSLER,KRISTOFER","Lecturer","Mechanical Engineering","PHD 2018 Univ of Wisconsin-Madison"
"829","DREWAL,HENRY J.","Professor","Art History","PHD 1973 Columbia University"
"830","DREWRY,JESSICA","Assoc Faculty Assoc","Biological Systems Engineering","PHD 2017 Univ of Wisconsin-Madison"
"831","DRONZEK,RAINER","Lecturer","Industrial &amp; Systems Engr",NA
"832","DRUSCHKE,CAROLINE GOTTSCHALK","Associate Professor","English","PHD 2011 Univ of Illinois at Chicago"
"833","DU,SHELDON","Associate Professor","Agricultural&amp;Applied Economics","PHD 2008 Iowa State Univ of Sci &amp; Tech"
"834","DUBOIS,THOMAS","Professor","German, Nordic &amp; Slavic","PHD 1990 University of Pennsylvania"
"835","DUELL,THERESA","Associate Professor","Obstetrics &amp; Gynecology","PHD 1977 University of Iowa"
"836","DUERST,BARBARA L.","Faculty Associate","Academic Affairs","MS 1993 Univ of Wisconsin-Madison"
"837","DUFFY,SEAN MICHAEL","Asst Professor (Chs)","Family Medicine","MD 2013 Univ of Wisconsin-Madison"
"838","DUGAN,HILARY A","Assistant Professor","Integrative Biology","PHD 2014 Univ of Illinois at Chicago"
"839","DUMESIC,JAMES","Professor Emer","Chemical &amp; Biological Engr","PHD 1974 Stanford University"
"840","DUNCAN,IAN D.","Professor","Medical Sciences","PHD 1975 University of Glasgow"
"841","DUNCAN,JEANNE MARIE","Faculty Associate","Academic Affairs","DPT 2016 College Of St Scholastica"
"842","DUNCAN,LARISSA G.","Associate Professor","School Of Human Ecology","PHD 2007 Pennsylvania State University"
"843","DUNHAM,RANDALL B","Professor Emer","Ev Mba Program Office","PHD 1975 Univ of IL at Urbana-Champaign"
"844","DUNN,JACOB T","Assoc Faculty Assoc","Social Work","MSW 2011 Aurora University"
"845","DUNN,RACHEL M.","Lecturer","Social Work","MSW 2009 Aurora University"
"846","DUNNE,JOHN D","Professor","Asian Languages &amp; Cultures","PHD 1999 Harvard University"
"847","DURKIN,MAUREEN SUZANNE","Professor","Population Health Sciences","PHD 1982 Univ of Wisconsin-Madison"
"848","DURRANCE,CHRISTINE PIETTE","Associate Professor","Lafollette Sch Of Publ Affairs","PHD 2007 University of Florida"
"849","DUSICK,ALLISON FRAN","Clinical Instructor","Pathobiological Sciences","DVM 2011 Univ of Wisconsin-Madison"
"850","DUTTON,ANDREA","Professor","Geoscience","PHD 2003 Univ of Michigan at Ann Arbor"
"851","DWYER,DAVID EDWARD","Clinical Assoc Prof","Nursing","PHD 2014 Univ of Wisconsin-Milwaukee"
"852","DYKEMA,JENNIFER LYNN","Visiting Assoc Prof","Sociology","PHD 2004 Univ of Wisconsin-Madison"
"853","DYKMAN,CHARLES PIPER","Adjunct Instructor","Law School","JD 1965 Univ of Wisconsin-Madison"
"854","DYMARZ,TULLIA MARIA","Associate Professor","Mathematics","PHD 2007 University of Chicago"
"855","EADIE,LOREN","Assoc Faculty Assoc","French And Italian","PHD 2015 Univ of Wisconsin-Madison"
"856","EASLAND,HOLLY","Lecturer","Design Studies","AA 1983 University of London"
"857","EASON,JOHN","Associate Professor","Sociology","PHD 2006 Univ of Wisconsin-Madison"
"858","EASWAR,VIJI","Assistant Professor","Communication Sci &amp; Disorders","PHD 2014 Canada"
"859","EATON,CARRIE A.","Sr Academic Curator","Geoscience","MS 2004 Univ of Wisconsin-Madison"
"860","EATON,JOSHUA SETH","Clinical Asst Prof","Surgical Sciences","DVM 2006 "
"861","EBERT,STEVEN CAREY","Clinical Professor","Pharmacy","PHARMD 1983 University of Texas at Austin"
"862","ECKHARDT,JON","Associate Professor","Management &amp; Human Resources","PHD 2003 Univ of Maryland College Park"
"863","ECKHARDT,LEE LOCHBAUM","Associate Professor","Medicine","MD 1999 Georgetown University"
"864","EDGAR,MARK","Lecturer","Academic Affairs","DRPH  "
"865","EDGE,HEATHER","Lecturer","Social Work","MSSW 2001 Univ of Wisconsin-Madison"
"866","EDGERTON,LARRY","Faculty Associate","Admin:Student Academic Affairs","PHD 1983 Univ of Wisconsin-Madison"
"867","EDIGER,MARK D","Professor","Chemistry","PHD 1984 Stanford University"
"868","EDMONDS,BRITTNEY M","Assistant Professor","Afro-American Studies","BA 2011 Cornell University"
"869","EDORO,AINEHI EJIEME","Assistant Professor","English","PHD 2016 Duke University"
"870","EDWARDS,COREY","Instrumentation Tech","Engineering Research Center","BS 2000 Univ of Wisconsin-Madison"
"871","EDWARDS,DOROTHY","Professor","Kinesiology","PHD 1980 Washington University"
"872","EDWARDS,GREG","Faculty Associate","Hawk Center For Invst Analysis","MS 1997 Univ of Wisconsin-Madison"
"873","EDWARDS,LOGAN","Assoc Prof L/I","Kinesiology","PHD 2017 Indiana University"
"874","EDWARDS,MORGAN","Assistant Professor","Lafollette Sch Of Publ Affairs","PHD 2018 Massachusetts Inst Of Tech"
"875","EDWARDS,TIMOTHY DAVID","Adjunct Instructor","Law School","JD 1989 Wayne State University"
"876","EGAN,PATRICIA","Senior Lecturer","Social Work","MSW 2013 Univ of Wisconsin-Madison"
"877","EGEA,JUAN F","Professor","Spanish And Portuguese","PHD 1999 Harvard University"
"878","EGEDAL,JAN","Professor","Physics","PHD 1998 University of Oxford"
"879","EGGERT,TOM","Faculty Associate","Academic Programs","JD 1987 George Washington University"
"880","EHLENBACH,MARY LYNN","Assoc Professor (Chs)","Pediatrics","MD 2002 Univ of Wisconsin-Madison"
"881","EHRENTHAL,DEBORAH B","Professor","Obstetrics &amp; Gynecology","MD 1986 Univ of Massachusetts Med Sch"
"882","EHRLICH,DAVID E","Assistant Professor","Integrative Biology","PHD 2013 Emory University"
"883","EICHELMAN,BURR S.","Professor (Chs)","Psychiatry","MD 1968 University of Chicago"
"884","EIDE,DAVID","Professor","Nutritional Sciences","PHD 1987 Univ of Wisconsin-Madison"
"885","EIRING,KRISTINE MARY","Lecturer","Rehab Psychology &amp; Special Ed","EDM 1996 Univ of Wisconsin-Madison"
"886","EISENSTEIN,RICK","Professor","Nutritional Sciences","PHD 1985 Univ of Wisconsin-Madison"
"887","EITH,ALYSON","Clinical Professor","Communication Sci &amp; Disorders","MS 2000 Univ of Wisconsin-Madison"
"888","EITZER,ANDREW","Clinical Instructor","Surgical Sciences","DVM 2016 "
"889","EKLUND,KATIE","Associate Professor","Educational Psychology","PHD 2011 U of California-Santa Barbara"
"890","EL-NOSSERY,NEVINE","Associate Professor","French And Italian","PHD 2000 University of Montreal"
"891","ELDER,ED","Senior Lecturer","Ms In Biotechnology Degree Prg",NA
"892","ELDRIDGE,HANNAH VANDEGRIFT","Associate Professor","German, Nordic &amp; Slavic","PHD 2012 University of Chicago"
"893","ELDRIDGE,MARLOWE W.","Professor","Pediatrics","MD 1986 University Of New Mexico"
"894","ELDRIDGE,MARY","Assoc Lecturer","Social Work","MSW 2015 University of Iowa"
"895","ELFENBEIN,JOHANNA","Assistant Professor","Pathobiological Sciences","PHD 2014 "
"896","ELICEIRI,KEVIN WILLIAM","Associate Professor","Medical Physics","PHD 2016 Univ of Wisconsin-Madison"
"897","ELKHOULY,MOHAMED","Visiting Asst Prof","Statistics","PHD 2019 University of Virginia"
"898","ELLENBERG,JORDAN","Professor","Mathematics","PHD 1998 Harvard University"
"899","ELLINGER,LISA","Assoc Lecturer","Lafollette Sch Of Publ Affairs","M.P.AFF 2003 Univ of Wisconsin-Madison"
"900","ELLIS WEISMER,SUSAN","Professor","Communication Sci &amp; Disorders","PHD 1981 Indiana University"
"901","ELLIS,LISA","Senior Lecturer","Communication Arts","MFA 2007 Columbia College"
"902","ELLISON,AUBREY","Asst Faculty Assoc","Chemistry","PHD 2017 Univ of Wisconsin-Madison"
"903","ELLISON,PAUL ANDREW","Assistant Professor","Medical Physics","PHD 2015 Univ of Wisconsin-Madison"
"904","ELLISON,SHELBY LYNN","Assistant Professor","Horticulture","PHD 2012 Univ of California Davis"
"905","ELSMO,ELIZABETH JANE","Clinical Asst Prof","Madison Pathology/Toxicology","DVM 2013 Univ of Wisconsin-Madison"
"906","ELWERT,FELIX","Professor","Sociology","PHD 2006 Harvard University"
"907","EMBORG,MARINA E","Professor","Medical Physics","PHD 1993 Universidad de Buenos Aires"
"908","EMIRBAYER,MUSTAFA","Professor","Sociology","PHD 1989 Harvard University"
"909","EMSHWILLER,EVE","Associate Professor","Botany","PHD 1999 Cornell University"
"910","ENDELMAN,JEFFREY","Associate Professor","Horticulture","PHD 2011 Washington State University"
"911","ENDERLE,GORDON","Faculty Associate","Risk &amp; Insurance","BS 1983 Princeton University"
"912","ENDICOTT,SARAH ELISA","Clinical Professor","Nursing","DNP 2013 Univ of Wisconsin-Madison"
"913","ENDRES,MATTHEW CHARLES","Faculty Associate","Mead Witter School Of Music","DM 2020 Univ of IL at Urbana-Champaign"
"914","ENGEL,CHARLES","Professor","Economics","PHD 1983 Univ of California Berkeley"
"915","ENGELMAN,CORINNE D","Professor","Population Health Sciences","PHD 2006 Univ of Colorado at Denver"
"916","ENGELMAN,MICHAL","Associate Professor","Sociology","PHD 2010 Johns Hopkins University"
"917","ENGIN,FEYZA SONIYE","Assistant Professor","Biomolecular Chemistry","PHD 2007 Baylor College Of Medicine"
"918","ENGLAND,SAMUEL","Associate Professor","African Cultural Studies","PHD 2011 Univ of California Berkeley"
"919","ENGLE,JONATHAN W","Assistant Professor","Medical Physics","PHD 2011 Univ of Wisconsin-Madison"
"920","ENKE,FINN","Professor","Gender And Women Studies","PHD 1999 Univ of Minnesota-Twin Cities"
"921","ENRIGHT,ROBERT D.","Professor","Educational Psychology","PHD 1976 Univ of Minnesota-Twin Cities"
"922","ENRIQUEZ,FALINA","Assistant Professor","Anthropology","PHD 2014 University of Chicago"
"923","ENSOR,SARAH","Assistant Professor","English","PHD 2012 Cornell University"
"924","ENSTAD,NAN","Professor","Community &amp; Environ Sociology","PHD 1993 Univ of Minnesota-Twin Cities"
"925","EOM,CHANG-BEOM","Professor","Materials Science&amp;Engineering","PHD 1991 Stanford University"
"926","EPP,AMBER","Associate Professor","Marketing","PHD 2008 University of Nebraska-Lincoln"
"927","EPP,RUSSELL","Senior Lecturer","Accting &amp; Info Sys","MACC 2001 University of Nebraska-Lincoln"
"928","EPPLI,MARK J","Faculty Associate","Graaskamp Ctr For Real Estate","PHD  Univ of Wisconsin-Madison"
"929","ERAKER,BJORN","Professor","Finance","PHD 2001 University of Chicago"
"930","ERBIL ERKAN,NALAN","Asst Faculty Assoc","South Asian Sum Lang Instit","PHD 2018 Univ of Wisconsin-Madison"
"931","ERIKSSON,MARK ALAN","Professor","Physics","PHD 1997 Harvard University"
"932","ERITEN,MELIH","Associate Professor","Mechanical Engineering","PHD 2011 Univ of IL at Urbana-Champaign"
"933","ERKER,TEDWARD","Asst Faculty Assoc","Statistics","MS 2018 Univ of Wisconsin-Madison"
"934","ERLANGER,HOWARD","Professor","Law School","PHD 1971 Univ of California Berkeley"
